datetime,Ia (A),Ib (A),Ic (A),Pa (kW),Pb (kW),Pc (kW),Ptot (kW),VAa (V),VAb (V),VAc (V),VAtot (V)
2023-03-09 00:00:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 00:15:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 00:30:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 00:45:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 01:00:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 01:15:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 01:30:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 01:45:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 02:00:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 02:15:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 02:30:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 02:45:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 03:00:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 03:15:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 03:30:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 03:45:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 04:00:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 04:15:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 04:30:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 04:45:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 05:00:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 05:15:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 05:30:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 05:45:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 06:00:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 06:15:00,0.32,0.31,0.32,0.04119,0,0.05368,0.02756,0,0,0,0
2023-03-09 06:30:00,0.322794539,0.311954078,0.32083313,0.04119,0,0.05558643,0.030718762,0,0,0,0
2023-03-09 06:45:00,0.30354918,0.265624416,0.189235404,0.050877319,0,0.068899579,0.057788149,0,0,0,0
2023-03-09 07:00:00,0.344390688,0.344842936,0.342969054,0.105602498,0,0.0404326,0.12136367,0,0,0,0
2023-03-09 07:15:00,0.523335961,0.524244093,0.530234833,0.19148236,0,0.091917483,0.283396752,0,0,0,0
2023-03-09 07:30:00,0.802499639,0.811007589,0.816624332,0.30884392,0,0.193790649,0.502518957,0,0,0,0
2023-03-09 07:45:00,1.020756292,1.038205376,1.041368952,0.391294373,0,0.270654221,0.661854586,0,0,0,0
2023-03-09 08:00:00,0.973818719,0.990430203,0.992985645,0.375610405,0,0.255693466,0.631410297,0,0,0,0
2023-03-09 08:15:00,1.138026352,1.159688816,1.160791126,0.434748826,0,0.312168651,0.746848966,0,0,0,0
2023-03-09 08:30:00,1.052142341,1.069962337,1.072112789,0.403944742,0,0.281932222,0.685754893,0,0,0,0
2023-03-09 08:45:00,1.213326335,1.236527033,1.237031693,0.465539364,0,0.337847867,0.803356999,0,0,0,0
2023-03-09 09:00:00,2.280780708,2.323427355,2.318847505,0.850463249,0,0.697691348,1.547412943,0,0,0,0
2023-03-09 09:15:00,2.066273508,2.101722449,2.100253713,0.773068472,0,0.624804187,1.398527308,0,0,0,0
2023-03-09 09:30:00,2.087824652,2.122825874,2.12395538,0.782868623,0,0.633001194,1.415525039,0,0,0,0
2023-03-09 09:45:00,3.910693636,3.973319075,3.966205391,1.43040258,0,1.241760981,2.671564343,0,0,0,0
2023-03-09 10:00:00,3.827972285,3.887867938,3.88159099,1.397474368,0,1.212076805,2.609397398,0,0,0,0
2023-03-09 10:15:00,5.022428329,5.090887381,5.082523187,1.817478246,0,1.60743538,3.425796738,0,0,0,0
2023-03-09 10:30:00,4.693077145,4.758208905,4.752124717,1.700980132,0,1.495979438,3.196610878,0,0,0,0
2023-03-09 10:45:00,5.243204886,5.308142867,5.302252145,1.894614808,0,1.675497493,3.571342705,0,0,0,0
2023-03-09 11:00:00,3.54885493,3.598316113,3.597158712,1.297446158,0,1.116242821,2.413567028,0,0,0,0
2023-03-09 11:15:00,3.214913012,3.262735034,3.260906676,1.178095994,0,1.005541584,2.182131523,0,0,0,0
2023-03-09 11:30:00,5.822997224,5.899658339,5.89039618,2.101965797,0,1.874266655,3.976984448,0,0,0,0
2023-03-09 11:45:00,5.344331959,5.413625399,5.404475249,1.937303536,0,1.715703148,3.652407093,0,0,0,0
2023-03-09 12:00:00,5.80958631,5.88423655,5.874792099,2.100317034,0,1.870615318,3.970366656,0,0,0,0
2023-03-09 12:15:00,5.085921573,5.151680071,5.14258076,1.841523411,0,1.631140226,3.472221685,0,0,0,0
2023-03-09 12:30:00,5.839058439,5.919119024,5.906073124,2.111066096,0,1.881917207,3.994357452,0,0,0,0
2023-03-09 12:45:00,5.640198138,5.709792417,5.702216962,2.034860454,0,1.814314157,3.849091536,0,0,0,0
2023-03-09 13:00:00,5.863685537,5.937327655,5.927441478,2.111780805,0,1.884764615,3.997503561,0,0,0,0
2023-03-09 13:15:00,5.680706408,5.752410726,5.74458187,2.044866576,0,1.821767662,3.865832461,0,0,0,0
2023-03-09 13:30:00,5.39984291,5.468939253,5.461463138,1.948280186,0,1.727085817,3.675687739,0,0,0,0
2023-03-09 13:45:00,4.131129527,4.188718174,4.184214064,1.50126782,0,1.306893228,2.807675989,0,0,0,0
2023-03-09 14:00:00,3.542238095,3.588067383,3.587046533,1.29108455,0,1.10926248,2.400678131,0,0,0,0
2023-03-09 14:15:00,2.234836096,2.272244306,2.272247307,0.830049119,0,0.678878934,1.509111131,0,0,0,0
2023-03-09 14:30:00,2.36102623,2.397741205,2.397908227,0.875701068,0,0.721292431,1.597197771,0,0,0,0
2023-03-09 14:45:00,2.002664911,2.037182847,2.038438792,0.750220606,0,0.602910664,1.353305264,0,0,0,0
